JUGADORJUGADOR,EQUIPOEQUIPO,JGJG,JPJP,EFEEFE,JJ,AA,JCJC,SHOSHO,JSJS,OSOS,ILIL,HH,CC,CLCL,HRHR,GPGP,BBBB,PP,WHIPWHIP,PROPRO
Ben Braymer,Toros,3,0,1.73,5,5,0,0,0,0,26,15,5,5,0,1,12,20,1.04,0.17
Sean Nolin,Piratas,4,1,2.17,5,5,0,0,0,0,29,31,9,7,4,1,5,17,1.24,0.28
David Reyes,El Aguila,3,1,2.41,5,5,1,0,0,0,33.2,30,11,9,4,0,5,24,1.04,0.23
Yoennis Yera,Olmecas,2,2,2.43,6,6,0,0,0,0,29.2,22,8,8,4,0,10,26,1.08,0.21
Tyler Danish,Olmecas,2,1,2.55,5,5,0,0,0,0,24.2,19,7,7,1,1,14,8,1.34,0.22
Aldo Montes,Algodoneros,4,0,3,6,6,0,0,0,0,33,34,14,11,4,4,8,33,1.27,0.27
Esmil Rogers,El Aguila,2,0,3,5,5,0,0,0,0,27,29,11,9,3,0,10,14,1.44,0.27
Victor Vargas,Pericos,1,2,3.13,5,5,0,0,0,0,23,23,12,8,2,2,8,20,1.35,0.26
Vladimir Gutierrez,Pericos,3,0,3.28,5,4,0,0,0,0,24.2,25,12,9,2,3,8,13,1.34,0.27
Daniel Mengden,Tecos,2,0,3.38,5,5,0,0,0,0,26.2,32,13,10,5,0,13,16,1.69,0.3
Nolan Kingham,Sultanes,3,0,3.62,6,6,0,0,0,0,32.1,26,14,13,2,3,9,18,1.08,0.22
Ronald Medrano,Rieleros,2,1,3.65,5,5,0,0,0,0,24.2,22,10,10,1,1,11,15,1.34,0.24
Domingo Acevedo,Piratas,2,1,3.66,6,6,0,0,0,0,32,21,15,13,8,0,7,31,0.88,0.18
Zac Grotz,Diablos Rojos,2,1,3.82,6,5,0,0,0,0,30.2,29,16,13,5,2,15,24,1.43,0.25
Yoanner Negrin,Leones,2,1,3.96,7,4,0,0,0,0,25,21,14,11,4,3,4,12,1,0.23
Christian Young,Acereros,2,1,3.96,5,5,0,0,0,0,25,22,11,11,4,3,6,20,1.12,0.24
Eduardo Vera,Charros,4,1,4.03,5,5,0,0,0,0,22.1,20,12,10,2,2,9,20,1.3,0.24
Austin Warner,Acereros,2,1,4.18,6,6,0,0,0,0,28,33,13,13,5,2,7,18,1.43,0.29
Junior Guerra,Tecos,2,0,4.23,5,5,0,0,0,0,27.2,26,14,13,2,2,7,27,1.19,0.24
Alemao Hernandez,Guerreros,2,0,4.24,5,4,0,0,0,0,23.1,28,12,11,4,1,8,22,1.54,0.3
Angel SÃ¡nchez,Pericos,3,2,4.32,5,5,0,0,0,0,25,28,14,12,3,1,5,19,1.32,0.29
Justin Courtney,Diablos Rojos,2,0,4.37,5,5,0,0,0,0,22.2,24,11,11,1,1,5,16,1.28,0.27
Jose Bravo,Diablos Rojos,2,0,4.43,5,5,0,0,0,0,22.1,28,12,11,4,0,8,19,1.61,0.31
Nate Antone,Tecos,2,1,4.44,5,5,0,0,0,0,24.1,28,13,12,3,1,8,20,1.48,0.29
Deylen Miley,Rieleros,2,3,4.45,6,6,0,0,0,0,28.1,20,14,14,2,3,12,37,1.13,0.2
Jorge Perez,Toros,2,1,4.45,6,6,0,0,0,0,30.1,35,15,15,5,4,3,16,1.25,0.3
Devin Smeltzer,Dorados,3,3,4.5,6,6,0,0,0,0,38,43,21,19,5,1,7,30,1.32,0.29
Darel Torres,Tigres,1,4,4.5,6,6,0,0,0,0,30,25,17,15,3,0,19,33,1.47,0.22
Wilmer Rios,Acereros,2,3,4.55,6,6,0,0,0,0,31.2,33,16,16,7,1,3,24,1.14,0.26
Kobe Foster,Tigres,1,0,4.59,6,6,0,0,0,0,33.1,40,19,17,7,0,7,19,1.41,0.3
Jake Faria,Guerreros,2,0,4.84,4,4,0,0,0,0,22.1,22,12,12,5,0,9,23,1.39,0.26
Tyler Viza,Sultanes,2,2,4.84,5,5,0,0,0,0,22.1,29,13,12,1,0,11,12,1.79,0.33
Cristofer Ogando,Saraperos,4,1,4.91,5,5,0,0,0,0,25.2,24,15,14,4,3,14,23,1.48,0.25
Jose Samayoa,Olmecas,0,4,4.94,6,6,0,0,0,0,27.1,24,15,15,5,1,11,29,1.28,0.23
Travis Lakins Sr.,Algodoneros,3,1,4.99,6,6,0,0,0,0,30.2,46,17,17,3,2,5,24,1.66,0.35
Jake Thompson,Caliente,2,1,5.27,6,6,0,0,0,0,27.1,32,18,16,2,1,6,16,1.39,0.29
Faustino Carrera,Bravos,1,2,5.32,5,5,0,0,0,0,23.2,29,17,14,1,1,8,14,1.56,0.31
Jorge Tavarez,Acereros,2,1,5.32,5,5,0,0,0,0,23.2,30,16,14,3,1,5,16,1.48,0.32
Manny BaÃ±uelos,Sultanes,2,1,5.47,6,6,0,0,0,0,26.1,27,17,16,2,1,12,24,1.48,0.27
Miller Hogan,Piratas,1,2,5.54,5,5,0,0,0,0,26,24,18,16,7,2,9,21,1.27,0.25
Andy Otero,Conspiradores,1,2,5.56,5,5,0,0,0,0,22.2,33,14,14,7,0,6,19,1.72,0.35
Julio Teheran,Toros,3,2,5.81,6,6,0,0,0,0,31,30,22,20,2,3,10,23,1.29,0.26
Caleb Smith,Dorados,0,3,5.84,6,5,0,0,0,0,24.2,26,16,16,6,0,11,36,1.5,0.28
Jaime Barria,Algodoneros,2,1,5.87,5,5,0,0,0,0,23,31,15,15,2,3,6,15,1.61,0.33
Matt Dermody,Toros,2,3,6,6,6,0,0,0,0,27,34,19,18,2,1,7,19,1.52,0.32
Elniery GarcÃ­a,Rieleros,1,3,6.08,6,6,0,0,0,0,26.2,31,19,18,5,4,9,21,1.5,0.3
Stephen Tarpley,Sultanes,1,2,6.26,6,6,0,0,0,0,27.1,35,21,19,4,5,8,24,1.57,0.33
Gabriel Ponce,Dorados,2,2,6.27,6,6,0,0,0,0,33,34,27,23,8,1,9,29,1.3,0.26
Dinelson Lamet,El Aguila,1,2,6.58,5,5,0,0,0,0,26,24,19,19,5,2,10,22,1.31,0.24
Radhames Liz,Guerreros,2,2,6.75,6,6,0,0,0,0,26.2,36,21,20,5,1,11,16,1.76,0.32
Adam Wolf,Bravos,1,2,6.84,6,6,0,0,0,0,26.1,28,21,20,5,4,17,18,1.71,0.28
Adrian Almeida,Olmecas,0,1,6.85,6,6,0,0,0,0,22.1,27,20,17,3,4,11,19,1.7,0.3
Zach Mort,Saraperos,0,3,6.92,5,5,0,0,0,0,26,34,23,20,7,1,7,22,1.58,0.32
Dereck RodrÃ­guez,Charros,1,1,6.93,5,5,0,0,0,0,24.2,34,19,19,2,0,4,10,1.54,0.33
Brandon Brennan,Tecos,1,2,6.94,5,5,0,0,0,0,23.1,28,21,18,5,1,11,10,1.67,0.3
CÃ©sar Valdez,Leones,3,3,7,6,6,0,0,0,0,27,32,21,21,4,1,8,28,1.48,0.3
Dan Straily,Diablos Rojos,1,1,7.27,6,6,0,0,0,0,26,35,23,21,7,2,9,17,1.69,0.32
Logan Ondrusek,Leones,1,2,7.81,6,6,0,0,0,0,27.2,42,29,24,8,0,9,26,1.84,0.34
Manny Barreda,Saraperos,1,3,7.94,6,6,0,0,0,0,28.1,39,25,25,6,3,12,17,1.8,0.33
Aaron Brooks,Caliente,0,3,8.31,6,6,0,0,0,0,26,44,27,24,3,3,5,18,1.88,0.38
